timestamp,source_ip,dest_ip,protocol,packet_size,time_delay,transmission_rate,mac_address,is_attack,attack_type
2026-07-10T10:00:00,10.0.0.50,192.168.1.1,UDP,785,36.13,1967.01,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:02,192.168.1.102,192.168.1.1,UDP,1263,65.63,2049.99,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:04,192.168.1.101,192.168.1.1,TCP,459,77.59,4254.44,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:06,192.168.1.102,192.168.1.1,DTLS,582,25.73,4303.45,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:08,10.0.0.50,192.168.1.1,TCP,1465,57.1,3882.74,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:10,10.0.0.50,192.168.1.1,DTLS,1273,30.29,4856.53,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:12,192.168.1.102,192.168.1.1,UDP,1390,30.99,4417.22,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:14,192.168.1.101,192.168.1.1,DTLS,852,48.12,4749.65,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:16,192.168.1.100,192.168.1.1,TCP,1184,20.87,2201.93,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:18,192.168.1.101,192.168.1.1,MAVLink,976,28.31,3006.8,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:20,192.168.1.102,192.168.1.1,802.11,1251,75.91,3546.28,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:22,10.0.0.50,192.168.1.1,MAVLink,426,12.37,4188.03,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:24,192.168.1.100,192.168.1.1,TCP,970,52.07,2140.24,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:26,192.168.1.101,192.168.1.1,DTLS,198,22.51,2229.89,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:28,10.0.0.50,192.168.1.1,MAVLink,1228,15.04,616.88,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:30,192.168.1.101,192.168.1.1,UDP,1009,21.48,3276.97,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:32,192.168.1.102,192.168.1.1,DTLS,1010,36.98,1836.88,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:34,192.168.1.101,192.168.1.1,TCP,584,46.34,4110.86,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:36,192.168.1.101,192.168.1.1,TCP,844,38.85,4949.79,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:38,192.168.1.100,192.168.1.1,802.11,156,67.35,2030.67,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:40,192.168.1.102,192.168.1.1,TCP,945,58.64,2028.4,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:42,192.168.1.101,192.168.1.1,802.11,1300,69.16,4767.27,AA:BB:CC:DD:EE:02,0,normal
