timestamp,source_ip,dest_ip,protocol,packet_size,time_delay,transmission_rate,mac_address,is_attack,attack_type
2026-07-10T08:00:00,192.168.1.101,192.168.1.1,TCP,1290,19.25,3168.25,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:00:03,192.168.1.100,192.168.1.1,UDP,174,51.97,2327.75,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:06,192.168.1.101,192.168.1.1,802.11,223,70.88,3134.08,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:09,10.0.0.50,192.168.1.1,802.11,518,54.15,2010.89,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:12,172.16.0.77,192.168.1.1,TCP,12236,1750.0,90.23,DE:AD:BE:EF:00:01,1,Signal Jamming
2026-07-10T08:00:15,10.0.0.50,192.168.1.1,DTLS,563,44.26,3444.42,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:18,192.168.1.101,192.168.1.1,UDP,629,63.24,3057.05,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:21,172.16.0.77,192.168.1.1,UDP,38460,1279.74,138.99,FF:FF:FF:FF:FF:FF,1,Replay Attack
2026-07-10T08:00:24,10.0.0.50,192.168.1.1,MAVLink,547,26.42,3580.62,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:00:27,192.168.1.100,192.168.1.1,MAVLink,587,74.71,2181.62,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:00:30,10.0.0.50,192.168.1.1,TCP,805,34.53,3331.85,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:33,192.168.1.102,192.168.1.1,TCP,1264,18.9,2295.31,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:36,192.168.1.100,192.168.1.1,TCP,302,76.04,4252.04,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:39,10.0.0.50,192.168.1.1,UDP,251,74.77,1490.27,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:42,192.168.1.102,192.168.1.1,802.11,1469,58.91,2232.4,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:00:45,192.168.1.100,192.168.1.1,MAVLink,1251,12.69,656.96,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:00:48,192.168.1.101,192.168.1.1,TCP,1450,64.15,1064.53,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:51,192.168.1.100,192.168.1.1,DTLS,1397,5.4,1796.29,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:54,192.168.1.102,192.168.1.1,MAVLink,454,58.25,3222.79,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:00:57,192.168.1.100,192.168.1.1,MAVLink,975,34.29,2179.05,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:00,192.168.1.102,192.168.1.1,DTLS,219,25.07,1986.88,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:01:03,198.51.100.22,192.168.1.1,MAVLink,28897,535.32,173.85,DE:AD:BE:EF:00:01,1,Command Injection
2026-07-10T08:01:06,10.0.0.50,192.168.1.1,DTLS,805,79.22,595.38,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:09,192.168.1.101,192.168.1.1,UDP,735,18.12,1729.75,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:12,172.16.0.77,192.168.1.1,TCP,53376,1766.36,101.08,DE:AD:BE:EF:00:01,1,DoS
2026-07-10T08:01:15,192.168.1.101,192.168.1.1,802.11,789,61.02,2944.93,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:18,192.168.1.102,192.168.1.1,802.11,469,13.83,4805.41,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:21,192.168.1.100,192.168.1.1,UDP,798,5.55,3435.43,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:01:24,10.0.0.50,192.168.1.1,802.11,496,11.23,2435.02,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:01:27,192.168.1.102,192.168.1.1,TCP,1268,10.23,2070.46,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:30,192.168.1.101,192.168.1.1,802.11,928,11.3,4633.24,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:01:33,192.168.1.101,192.168.1.1,UDP,1270,8.75,4827.6,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T08:01:36,192.168.1.102,192.168.1.1,MAVLink,1048,52.61,986.2,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T08:01:39,192.168.1.101,192.168.1.1,MAVLink,1389,5.32,816.75,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:42,10.0.0.99,192.168.1.1,MAVLink,53948,336.91,137.65,FF:FF:FF:FF:FF:FF,1,Command Injection
2026-07-10T08:01:45,192.168.1.101,192.168.1.1,802.11,1486,34.2,871.91,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:48,192.168.1.101,192.168.1.1,DTLS,613,18.79,1591.47,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T08:01:51,172.16.0.77,192.168.1.1,UDP,60918,687.02,61.09,DE:AD:BE:EF:00:01,1,Signal Jamming
